61 2:14 ,Adultery 
42 1:2 ,Authority of the Bible 
42 1:1 ,Authority of the Bible 
23 8:20 ,Authority of the Bible 
20 30:6 ,Authority of the Bible 
20 30:5 ,Authority of the Bible 
20 13:13 ,Authority of the Bible 
19 19:7 ,Authority of the Bible 
5 12:32 ,Authority of the Bible 
5 4:2 ,Authority of the Bible 
43 1:27 ,Baptism 
43 1:25 ,Baptism 
43 1:26 ,Baptism 
41 1:4 ,Baptism 
40 28:19 ,Baptism 
46 12:13 ,Baptism 
45 6:4 ,Baptism 
42 7:30 ,Baptism 
44 19:5 ,Baptism 
44 19:4 ,Baptism 
44 10:48 ,Baptism 
60 3:21 ,Baptism 
44 16:15 ,Baptism 
44 8:38 ,Baptism 
44 8:37 ,Baptism 
60 3:20 ,Baptism 
58 6:2 ,Baptism 
56 3:5 ,Baptism 
51 2:12 ,Baptism 
49 4:5 ,Baptism 
48 3:27 ,Baptism 
46 10:2 ,Baptism 
45 6:3 ,Baptism 
44 22:16 ,Baptism 
44 19:3 ,Baptism 
44 18:8 ,Baptism 
44 16:31 ,Baptism 
44 16:14 ,Baptism 
44 10:47 ,Baptism 
44 9:18 ,Baptism 
44 8:36 ,Baptism 
44 8:12 ,Baptism 
44 2:38 ,Baptism 
44 2:41 ,Baptism 
43 3:23 ,Baptism 
43 3:5 ,Baptism 
42 7:29 ,Baptism 
42 3:21 ,Baptism 
42 3:16 ,Baptism 
42 3:12 ,Baptism 
41 16:16 ,Baptism 
41 1:8 ,Baptism 
40 3:13 ,Baptism 
40 3:11 ,Baptism 
40 3:6 ,Baptism 
23 35:3 ,Biblical Love 
40 28:19 ,Biblical Love 
62 4:15 ,Biblical Love 
62 4:14 ,Biblical Love 
62 4:13 ,Biblical Love 
62 4:16 ,Biblical Love 
54 6:11 ,Biblical Love 
51 3:12 ,Biblical Love 
51 3:13 ,Biblical Love 
51 1:8 ,Biblical Love 
49 4:16 ,Biblical Love 
49 3:19 ,Biblical Love 
49 3:18 ,Biblical Love 
49 3:17 ,Biblical Love 
48 5:23 ,Biblical Love 
48 5:22 ,Biblical Love 
48 5:6 ,Biblical Love 
46 13:13 ,Biblical Love 
46 13:12 ,Biblical Love 
46 13:11 ,Biblical Love 
46 13:10 ,Biblical Love 
46 13:9 ,Biblical Love 
46 13:8 ,Biblical Love 
46 13:7 ,Biblical Love 
46 13:6 ,Biblical Love 
46 13:5 ,Biblical Love 
46 13:4 ,Biblical Love 
46 13:3 ,Biblical Love 
46 13:2 ,Biblical Love 
58 6:10 ,Biblical Love 
19 116:1 ,Biblical Love 
19 84:2 ,Biblical Love 
19 73:25 ,Biblical Love 
19 42:1 ,Biblical Love 
19 18:1 ,Biblical Love 
19 31:23 ,Biblical Love 
6 22:5 ,Biblical Love 
5 6:5 ,Biblical Love 
44 21:13 ,Biblical Love 
43 21:16 ,Biblical Love 
43 20:11 ,Biblical Love 
43 12:3 ,Biblical Love 
43 11:16 ,Biblical Love 
42 7:47 ,Biblical Love 
60 1:8 ,Biblical Love 
57 1:5 ,Biblical Love 
55 1:13 ,Biblical Love 
49 6:24 ,Biblical Love 
43 16:27 ,Biblical Love 
43 14:24 ,Biblical Love 
43 14:23 ,Biblical Love 
43 14:22 ,Biblical Love 
43 14:16 ,Biblical Love 
62 3:16 ,Biblical Love 
49 5:2 ,Biblical Love 
48 2:20 ,Biblical Love 
47 5:15 ,Biblical Love 
47 5:14 ,Biblical Love 
43 13:1 ,Biblical Love 
55 1:16 ,Biblical Love 
55 1:17 ,Biblical Love 
50 4:1 ,Biblical Love 
50 1:8 ,Biblical Love 
47 12:15 ,Biblical Love 
45 16:4 ,Biblical Love 
44 20:38 ,Biblical Love 
9 18:3 ,Biblical Love 
62 4:12 ,Biblical Love 
62 4:11 ,Biblical Love 
62 4:10 ,Biblical Love 
62 4:9 ,Biblical Love 
62 4:8 ,Biblical Love 
62 4:7 ,Biblical Love 
60 1:22 ,Biblical Love 
59 2:8 ,Biblical Love 
58 13:3 ,Biblical Love 
58 13:2 ,Biblical Love 
58 13:1 ,Biblical Love 
52 3:12 ,Biblical Love 
45 13:9 ,Biblical Love 
45 12:9 ,Biblical Love 
43 15:13 ,Biblical Love 
43 15:12 ,Biblical Love 
43 15:11 ,Biblical Love 
5 10:19 ,Biblical Love 
62 4:17 ,Biblical Love 
62 4:18 ,Biblical Love 
62 4:19 ,Biblical Love 
62 4:21 ,Biblical Love 
62 4:20 ,Biblical Love 
62 2:11 ,Biblical Love 
62 2:10 ,Biblical Love 
60 4:8 ,Biblical Love 
52 4:9 ,Biblical Love 
50 1:9 ,Biblical Love 
48 5:15 ,Biblical Love 
48 5:14 ,Biblical Love 
48 5:13 ,Biblical Love 
46 13:1 ,Biblical Love 
20 10:12 ,Biblical Love 
47 8:8 ,Biblical Love 
45 13:10 ,Biblical Love 
45 5:8 ,Biblical Love 
43 15:9 ,Biblical Love 
43 14:15 ,Biblical Love 
43 13:34 ,Biblical Love 
43 13:35 ,Biblical Love 
42 6:27 ,Biblical Love 
41 12:31 ,Biblical Love 
41 12:30 ,Biblical Love 
40 22:40 ,Biblical Love 
40 22:39 ,Biblical Love 
40 22:38 ,Biblical Love 
40 22:37 ,Biblical Love 
40 19:19 ,Biblical Love 
40 10:37 ,Biblical Love 
40 5:44 ,Biblical Love 
40 5:43 ,Biblical Love 
63 1:6 ,Biblical Love 
62 5:3 ,Biblical Love 
62 2:5 ,Biblical Love 
51 3:14 ,Biblical Love 
43 15:10 ,Biblical Love 
43 14:21 ,Biblical Love 
48 3:10 ,Blessings & Curses 
59 3:9 ,Blessings & Curses 
59 3:8 ,Blessings & Curses 
59 3:10 ,Blessings & Curses 
21 10:20 ,Blessings & Curses 
19 119:21 ,Blessings & Curses 
19 3:8 ,Blessings & Curses 
20 10:22 ,Blessings & Curses 
1 12:3 ,Blessings & Curses 
66 22:3 ,Blessings & Curses 
48 1:9 ,Blessings & Curses 
48 1:8 ,Blessings & Curses 
5 11:28 ,Blessings & Curses 
5 11:27 ,Blessings & Curses 
5 11:26 ,Blessings & Curses 
39 2:2 ,Blessings & Curses 
20 28:20 ,Blessings & Curses 
20 10:6 ,Blessings & Curses 
48 3:13 ,Blessings & Curses 
45 12:14 ,Blessings & Curses 
42 6:28 ,Blessings & Curses 
20 26:2 ,Blessings & Curses 
20 3:33 ,Blessings & Curses 
4 23:8 ,Blessings & Curses 
1 24:65 ,Christian Clothing 
26 16:8 ,Christian Clothing 
66 3:18 ,Christian Clothing 
2 28:42 ,Christian Clothing 
66 1:13 ,Christian Clothing 
1 3:21 ,Christian Clothing 
60 3:3 ,Christian Clothing 
54 2:9 ,Christian Clothing 
41 5:15 ,Christian Clothing 
26 23:44 ,Christian Clothing 
26 23:43 ,Christian Clothing 
26 23:42 ,Christian Clothing 
26 23:41 ,Christian Clothing 
26 23:40 ,Christian Clothing 
26 18:16 ,Christian Clothing 
23 47:3 ,Christian Clothing 
23 47:2 ,Christian Clothing 
5 22:5 ,Christian Clothing 
55 2:7 ,Christian Offices 
55 2:6 ,Christian Offices 
55 2:5 ,Christian Offices 
55 2:4 ,Christian Offices 
55 2:3 ,Christian Offices 
55 2:2 ,Christian Offices 
55 2:1 ,Christian Offices 
46 14:29 ,Christian Offices 
44 11:29 ,Christian Offices 
44 11:28 ,Christian Offices 
44 11:27 ,Christian Offices 
58 13:17 ,Christian Offices 
59 5:14 ,Christian Offices 
44 15:2 ,Christian Offices 
44 11:30 ,Christian Offices 
50 1:1 ,Christian Offices 
44 6:3 ,Christian Offices 
56 1:9 ,Christian Offices 
56 1:8 ,Christian Offices 
56 1:7 ,Christian Offices 
56 1:6 ,Christian Offices 
54 5:18 ,Christian Offices 
54 3:10 ,Christian Offices 
54 3:9 ,Christian Offices 
54 3:8 ,Christian Offices 
54 3:7 ,Christian Offices 
54 3:5 ,Christian Offices 
54 3:4 ,Christian Offices 
54 3:3 ,Christian Offices 
54 3:2 ,Christian Offices 
49 3:5 ,Christian Offices 
46 12:28 ,Christian Offices 
49 4:12 ,Christian Offices 
44 16:4 ,Christian Offices 
54 5:17 ,Christian Offices 
54 5:19 ,Christian Offices 
60 5:1 ,Christian Offices 
56 1:5 ,Christian Offices 
55 1:11 ,Christian Offices 
54 3:1 ,Christian Offices 
49 4:11 ,Christian Offices 
46 11:25 ,Communion 
46 10:16 ,Communion 
46 11:34 ,Communion 
46 11:33 ,Communion 
46 11:32 ,Communion 
46 11:31 ,Communion 
46 11:30 ,Communion 
46 11:29 ,Communion 
46 11:28 ,Communion 
46 11:27 ,Communion 
46 11:26 ,Communion 
46 11:24 ,Communion 
46 11:23 ,Communion 
46 10:21 ,Communion 
44 20:7 ,Communion 
44 2:42 ,Communion 
43 6:58 ,Communion 
43 6:57 ,Communion 
43 6:56 ,Communion 
43 6:55 ,Communion 
43 6:54 ,Communion 
43 6:53 ,Communion 
42 22:20 ,Communion 
42 22:19 ,Communion 
42 22:18 ,Communion 
42 22:17 ,Communion 
42 22:16 ,Communion 
41 14:25 ,Communion 
41 14:24 ,Communion 
41 14:23 ,Communion 
41 14:22 ,Communion 
40 26:29 ,Communion 
40 26:28 ,Communion 
40 26:27 ,Communion 
40 26:26 ,Communion 
38 2:5 ,Conditional Security 
19 125:2 ,Conditional Security 
19 41:3 ,Conditional Security 
19 41:2 ,Conditional Security 
19 41:1 ,Conditional Security 
19 34:7 ,Conditional Security 
14 16:9 ,Conditional Security 
23 32:17 ,Conditional Security 
23 32:18 ,Conditional Security 
20 12:21 ,Conditional Security 
23 43:2 ,Conditional Security 
23 33:16 ,Conditional Security 
20 3:24 ,Conditional Security 
20 3:23 ,Conditional Security 
20 3:22 ,Conditional Security 
20 3:21 ,Conditional Security 
20 1:33 ,Conditional Security 
19 125:1 ,Conditional Security 
19 112:7 ,Conditional Security 
19 91:5 ,Conditional Security 
19 91:4 ,Conditional Security 
18 11:18 ,Conditional Security 
54 6:19 ,Conditional Security 
40 7:25 ,Conditional Security 
40 7:24 ,Conditional Security 
23 28:16 ,Conditional Security 
66 3:5 ,Conditional Security 
66 2:26 ,Conditional Security 
66 2:4 ,Conditional Security 
58 10:26 ,Conditional Security 
58 3:12 ,Conditional Security 
55 4:10 ,Conditional Security 
54 6:21 ,Conditional Security 
54 6:10 ,Conditional Security 
54 1:19 ,Conditional Security 
41 13:13 ,Conditional Security 
40 10:22 ,Conditional Security 
19 125:5 ,Conditional Security 
1 24:65 ,Dating 
48 5:16 ,Dating 
46 6:19 ,Dating 
46 6:18 ,Dating 
44 15:29 ,Dating 
58 13:4 ,Dating 
51 3:5 ,Dating 
49 5:3 ,Dating 
45 6:16 ,Dating 
45 1:24 ,Dating 
52 4:7 ,Dating 
52 4:6 ,Dating 
52 4:5 ,Dating 
52 4:4 ,Dating 
52 4:3 ,Dating 
20 5:20 ,Dating 
18 31:1 ,Dating 
5 20:7 ,Dating 
7 14:10 ,Dating 
7 14:9 ,Dating 
7 14:8 ,Dating 
7 14:7 ,Dating 
7 14:6 ,Dating 
7 14:5 ,Dating 
7 14:4 ,Dating 
7 14:3 ,Dating 
7 14:2 ,Dating 
7 14:1 ,Dating 
1 29:20 ,Dating 
1 29:19 ,Dating 
1 29:18 ,Dating 
1 29:17 ,Dating 
1 29:16 ,Dating 
1 29:15 ,Dating 
1 29:14 ,Dating 
1 29:13 ,Dating 
1 29:12 ,Dating 
1 29:11 ,Dating 
47 6:14 ,Dating 
1 24:6 ,Dating 
1 24:5 ,Dating 
1 24:4 ,Dating 
1 24:3 ,Dating 
40 19:6 ,Dating 
40 19:5 ,Dating 
55 2:22 ,Dating 
46 7:2 ,Dating 
46 7:34 ,Dating 
46 7:1 ,Dating 
40 5:28 ,Dating 
22 8:4 ,Dating 
22 3:5 ,Dating 
22 2:7 ,Dating 
40 6:26 ,Dietary Guidance 
40 6:25 ,Dietary Guidance 
19 145:16 ,Dietary Guidance 
19 145:15 ,Dietary Guidance 
19 136:25 ,Dietary Guidance 
19 104:15 ,Dietary Guidance 
19 104:14 ,Dietary Guidance 
18 36:31 ,Dietary Guidance 
1 9:4 ,Dietary Guidance 
1 9:3 ,Dietary Guidance 
1 1:29 ,Dietary Guidance 
42 12:23 ,Dietary Guidance 
42 12:22 ,Dietary Guidance 
20 25:27 ,Dietary Guidance 
20 23:2 ,Dietary Guidance 
20 23:1 ,Dietary Guidance 
19 141:4 ,Dietary Guidance 
42 7:33 ,Dietary Guidance 
42 7:34 ,Dietary Guidance 
42 7:22 ,Dietary Guidance 
51 2:16 ,Dietary Guidance 
46 8:8 ,Dietary Guidance 
46 8:13 ,Dietary Guidance 
54 6:17 ,Dietary Guidance 
54 4:6 ,Dietary Guidance 
54 4:5 ,Dietary Guidance 
54 4:4 ,Dietary Guidance 
54 4:3 ,Dietary Guidance 
54 4:2 ,Dietary Guidance 
54 4:1 ,Dietary Guidance 
51 2:23 ,Dietary Guidance 
51 2:22 ,Dietary Guidance 
51 2:21 ,Dietary Guidance 
51 2:20 ,Dietary Guidance 
46 10:33 ,Dietary Guidance 
46 10:32 ,Dietary Guidance 
46 10:31 ,Dietary Guidance 
46 10:30 ,Dietary Guidance 
46 10:29 ,Dietary Guidance 
46 10:28 ,Dietary Guidance 
46 10:27 ,Dietary Guidance 
46 10:26 ,Dietary Guidance 
46 10:25 ,Dietary Guidance 
46 10:24 ,Dietary Guidance 
46 10:23 ,Dietary Guidance 
42 10:8 ,Dietary Guidance 
42 10:7 ,Dietary Guidance 
40 15:11 ,Dietary Guidance 
43 15:3 ,Discipline 
43 15:2 ,Discipline 
24 10:24 ,Discipline 
20 3:12 ,Discipline 
19 94:15 ,Discipline 
19 94:14 ,Discipline 
19 94:13 ,Discipline 
19 94:12 ,Discipline 
18 33:19 ,Discipline 
66 2:3 ,Discipline 
48 6:9 ,Discipline 
47 4:16 ,Discipline 
47 4:1 ,Discipline 
19 94:3 ,Discipline 
19 90:13 ,Discipline 
19 89:50 ,Discipline 
19 89:49 ,Discipline 
19 80:4 ,Discipline 
19 79:5 ,Discipline 
19 35:17 ,Discipline 
19 13:1 ,Discipline 
19 6:3 ,Discipline 
19 90:8 ,Discipline 
19 90:7 ,Discipline 
19 66:11 ,Discipline 
18 16:12 ,Discipline 
18 6:4 ,Discipline 
8 1:20 ,Discipline 
66 7:14 ,Discipline 
47 4:17 ,Discipline 
38 13:9 ,Discipline 
32 2:2 ,Discipline 
21 7:2 ,Discipline 
19 119:67 ,Discipline 
18 34:32 ,Discipline 
18 34:31 ,Discipline 
18 23:10 ,Discipline 
18 5:17 ,Discipline 
58 12:11 ,Discipline 
58 12:10 ,Discipline 
58 12:9 ,Discipline 
58 12:8 ,Discipline 
58 12:7 ,Discipline 
58 12:6 ,Discipline 
58 12:5 ,Discipline 
20 29:17 ,Discipline 
20 29:15 ,Discipline 
20 23:23 ,Discipline 
20 23:14 ,Discipline 
20 23:13 ,Discipline 
20 22:15 ,Discipline 
20 20:30 ,Discipline 
20 19:29 ,Discipline 
20 19:27 ,Discipline 
20 19:25 ,Discipline 
20 19:20 ,Discipline 
20 19:18 ,Discipline 
20 15:33 ,Discipline 
20 15:32 ,Discipline 
20 15:31 ,Discipline 
20 15:5 ,Discipline 
20 15:10 ,Discipline 
20 13:1 ,Discipline 
20 12:1 ,Discipline 
20 10:17 ,Discipline 
20 10:13 ,Discipline 
20 8:10 ,Discipline 
20 6:23 ,Discipline 
20 5:23 ,Discipline 
20 5:12 ,Discipline 
20 4:13 ,Discipline 
20 4:1 ,Discipline 
20 3:11 ,Discipline 
20 1:8 ,Discipline 
20 1:7 ,Discipline 
10 7:14 ,Discipline 
9 3:13 ,Discipline 
5 8:5 ,Discipline 
5 6:9 ,Education 
54 3:12 ,Education 
54 3:4 ,Education 
49 6:4 ,Education 
20 6:23 ,Education 
20 6:22 ,Education 
20 6:21 ,Education 
12 12:2 ,Education 
6 8:35 ,Education 
25 2:19 ,Education 
23 38:19 ,Education 
5 21:19 ,Education 
5 21:18 ,Education 
5 6:21 ,Education 
5 6:20 ,Education 
55 3:15 ,Education 
55 3:14 ,Education 
54 6:20 ,Education 
51 2:8 ,Education 
45 16:19 ,Education 
42 6:40 ,Education 
24 35:17 ,Education 
24 35:16 ,Education 
21 12:12 ,Education 
20 23:19 ,Education 
20 22:6 ,Education 
20 17:6 ,Education 
20 14:7 ,Education 
20 13:20 ,Education 
20 6:20 ,Education 
20 4:10 ,Education 
20 4:2 ,Education 
20 3:1 ,Education 
20 1:8 ,Education 
19 144:12 ,Education 
19 144:11 ,Education 
19 127:1 ,Education 
19 34:11 ,Education 
5 11:21 ,Education 
5 11:20 ,Education 
5 11:19 ,Education 
5 6:7 ,Education 
1 18:19 ,Education 
47 12:8 ,Effective Prayer 
26 20:3 ,Effective Prayer 
10 12:16 ,Effective Prayer 
5 3:26 ,Effective Prayer 
2 33:20 ,Effective Prayer 
38 10:6 ,Effective Prayer 
33 7:7 ,Effective Prayer 
19 34:17 ,Effective Prayer 
19 18:6 ,Effective Prayer 
19 4:4 ,Effective Prayer 
19 4:3 ,Effective Prayer 
18 34:28 ,Effective Prayer 
60 3:12 ,Effective Prayer 
59 4:3 ,Effective Prayer 
59 1:6 ,Effective Prayer 
49 3:20 ,Effective Prayer 
43 16:24 ,Effective Prayer 
43 16:23 ,Effective Prayer 
43 14:14 ,Effective Prayer 
43 14:13 ,Effective Prayer 
43 9:31 ,Effective Prayer 
41 11:24 ,Effective Prayer 
40 21:22 ,Effective Prayer 
32 2:7 ,Effective Prayer 
27 9:16 ,Effective Prayer 
24 11:14 ,Effective Prayer 
24 7:16 ,Effective Prayer 
23 59:2 ,Effective Prayer 
23 1:15 ,Effective Prayer 
20 28:9 ,Effective Prayer 
20 15:29 ,Effective Prayer 
20 15:8 ,Effective Prayer 
19 109:7 ,Effective Prayer 
19 109:6 ,Effective Prayer 
19 66:18 ,Effective Prayer 
9 28:6 ,Effective Prayer 
40 19:14 ,Family Planning 
20 17:6 ,Family Planning 
19 128:3 ,Family Planning 
19 113:9 ,Family Planning 
6 24:3 ,Family Planning 
1 48:9 ,Family Planning 
1 33:5 ,Family Planning 
39 2:15 ,Family Planning 
19 107:43 ,Family Planning 
19 107:42 ,Family Planning 
19 107:41 ,Family Planning 
19 127:4 ,Family Planning 
54 5:14 ,Family Planning 
42 1:13 ,Family Planning 
23 66:9 ,Family Planning 
19 127:3 ,Family Planning 
19 127:5 ,Family Planning 
13 25:5 ,Family Planning 
12 4:17 ,Family Planning 
12 4:16 ,Family Planning 
10 6:23 ,Family Planning 
9 2:21 ,Family Planning 
9 1:20 ,Family Planning 
9 1:19 ,Family Planning 
9 1:5 ,Family Planning 
8 4:13 ,Family Planning 
7 13:3 ,Family Planning 
3 26:9 ,Family Planning 
1 30:22 ,Family Planning 
1 30:2 ,Family Planning 
1 29:31 ,Family Planning 
1 25:21 ,Family Planning 
1 21:2 ,Family Planning 
1 21:1 ,Family Planning 
1 20:18 ,Family Planning 
1 20:17 ,Family Planning 
1 17:19 ,Family Planning 
1 3:16 ,Family Planning 
1 1:28 ,Family Planning 
44 27:24 ,Fear Not 
42 12:7 ,Fear Not 
42 8:50 ,Fear Not 
42 5:10 ,Fear Not 
42 2:10 ,Fear Not 
42 1:30 ,Fear Not 
40 28:5 ,Fear Not 
40 10:28 ,Fear Not 
42 12:32 ,Fear Not 
66 1:17 ,Fear Not 
24 46:27 ,Fear Not 
27 10:19 ,Fear Not 
27 10:12 ,Fear Not 
23 54:4 ,Fear Not 
23 41:13 ,Fear Not 
23 35:4 ,Fear Not 
23 41:14 ,Fear Not 
23 43:1 ,Fear Not 
38 8:13 ,Fear Not 
13 28:20 ,Fear Not 
23 44:2 ,Fear Not 
12 6:16 ,Fear Not 
11 17:13 ,Fear Not 
7 6:23 ,Fear Not 
6 10:25 ,Fear Not 
5 31:7 ,Fear Not 
5 31:8 ,Fear Not 
6 8:1 ,Fear Not 
5 31:6 ,Fear Not 
1 46:3 ,Fear Not 
1 26:24 ,Fear Not 
1 15:1 ,Fear Not 
23 43:5 ,Fear Not 
43 12:15 ,Fear Not 
29 2:21 ,Fear Not 
42 24:3 ,First Day 
42 24:2 ,First Day 
42 24:1 ,First Day 
41 16:2 ,First Day 
41 16:9 ,First Day 
43 20:1 ,First Day 
66 1:10 ,First Day 
51 2:16 ,First Day 
46 16:2 ,First Day 
45 14:6 ,First Day 
45 14:5 ,First Day 
44 20:7 ,First Day 
43 20:19 ,First Day 
52 2:5 ,Flattery 
20 26:28 ,Flattery 
20 24:24 ,Flattery 
20 20:19 ,Flattery 
19 5:9 ,Flattery 
19 36:3 ,Flattery 
19 36:2 ,Flattery 
27 11:21 ,Flattery 
27 11:32 ,Flattery 
59 2:9 ,Flattery 
20 6:24 ,Flattery 
20 7:21 ,Flattery 
19 12:3 ,Flattery 
18 17:5 ,Flattery 
65 1:16 ,Flattery 
20 29:5 ,Flattery 
20 28:23 ,Flattery 
18 32:22 ,Flattery 
18 32:21 ,Flattery 
45 10:12 ,Free Will 
40 22:9 ,Free Will 
43 7:37 ,Free Will 
47 5:20 ,Free Will 
45 10:21 ,Free Will 
26 18:31 ,Free Will 
23 1:18 ,Free Will 
23 1:17 ,Free Will 
23 55:1 ,Free Will 
62 5:1 ,Free Will 
44 10:43 ,Free Will 
43 4:14 ,Free Will 
42 12:8 ,Free Will 
43 3:16 ,Free Will 
66 22:17 ,Free Will 
61 3:9 ,Free Will 
54 2:4 ,Free Will 
45 10:13 ,Free Will 
44 17:30 ,Free Will 
44 2:21 ,Free Will 
40 11:28 ,Free Will 
29 2:32 ,Free Will 
23 45:22 ,Free Will 
20 8:17 ,Free Will 
66 22:12 ,God's Judgement 
66 2:23 ,God's Judgement 
45 2:6 ,God's Judgement 
40 16:27 ,God's Judgement 
26 18:30 ,God's Judgement 
24 32:19 ,God's Judgement 
24 17:10 ,God's Judgement 
20 24:12 ,God's Judgement 
19 62:12 ,God's Judgement 
45 2:12 ,God's Judgement 
43 15:22 ,God's Judgement 
43 9:41 ,God's Judgement 
43 3:19 ,God's Judgement 
42 12:48 ,God's Judgement 
41 6:11 ,God's Judgement 
40 11:20 ,God's Judgement 
40 11:21 ,God's Judgement 
40 11:22 ,God's Judgement 
66 20:12 ,God's Judgement 
65 1:15 ,God's Judgement 
65 1:14 ,God's Judgement 
62 4:17 ,God's Judgement 
61 3:7 ,God's Judgement 
61 2:9 ,God's Judgement 
58 9:28 ,God's Judgement 
58 9:27 ,God's Judgement 
47 5:11 ,God's Judgement 
47 5:10 ,God's Judgement 
40 25:33 ,God's Judgement 
40 25:32 ,God's Judgement 
40 25:31 ,God's Judgement 
39 3:5 ,God's Judgement 
26 39:21 ,God's Judgement 
26 38:22 ,God's Judgement 
26 30:14 ,God's Judgement 
26 25:11 ,God's Judgement 
19 36:6 ,God's Judgement 
19 9:16 ,God's Judgement 
2 12:12 ,God's Judgement 
2 6:6 ,God's Judgement 
66 20:13 ,God's Judgement 
60 1:17 ,God's Judgement 
45 2:16 ,God's Judgement 
44 17:31 ,God's Judgement 
43 5:30 ,God's Judgement 
43 5:23 ,God's Judgement 
43 5:22 ,God's Judgement 
42 19:22 ,God's Judgement 
23 57:21 ,God's Judgement 
23 48:22 ,God's Judgement 
21 8:11 ,God's Judgement 
20 1:31 ,God's Judgement 
20 1:30 ,God's Judgement 
20 1:29 ,God's Judgement 
20 1:28 ,God's Judgement 
20 1:27 ,God's Judgement 
20 1:26 ,God's Judgement 
20 1:25 ,God's Judgement 
20 1:24 ,God's Judgement 
2 34:7 ,God's Judgement 
56 3:5 ,Grace 
45 9:16 ,Grace 
45 4:16 ,Grace 
27 9:18 ,Grace 
5 9:5 ,Grace 
56 3:6 ,Grace 
54 1:14 ,Grace 
50 4:19 ,Grace 
49 2:9 ,Grace 
49 2:8 ,Grace 
49 2:7 ,Grace 
